CATEGORIA,Count,LandAkm2,Coverkm2,Radiuskm,WMORadkm,CategId,WMOCheckRd
Limnimétrica,1830,1154532.6991552995,630.8921853307647,14.171069815186103,999999.0,LM,1
Limnigráfica,1108,1154532.6991552995,1041.9970208982847,18.212027704953172,999999.0,LG,1
Climática Ordinaria,894,1154532.6991552995,1291.423600844854,20.274932784105268,25.0,CO,1
Climática Principal,721,1154532.6991552995,1601.2936188006927,22.57670457678177,75.0,CP,1
Pluviográfica,614,1154532.6991552995,1880.346415562377,24.464931095831005,12.5,PG,0
Meteorológica Especial,167,1154532.6991552995,6913.369456019757,46.910487576789734,12.5,ME,0
Agrometeorológica,71,1154532.6991552995,16261.023931764781,71.94473349003347,75.0,AM,1
Mareográfica,51,1154532.6991552995,22637.896061868618,84.88737314167452,999999.0,MG,1
Sinóptica Principal,35,1154532.6991552995,32986.64854729427,102.46939223335886,500.0,SP,1
Sinóptica Secundaria,14,1154532.6991552995,82466.62136823568,162.01833495529098,500.0,SS,1
Radio Sonda,14,1154532.6991552995,82466.62136823568,162.01833495529098,999999.0,RS,1
AB,7,1154532.6991552995,164933.24273647135,229.12852664687938,999999.0,AB,1
HM,6,1154532.6991552995,192422.11652588323,247.4870946344435,999999.0,HM,1
