,AREA_OPERATIVA
Area Operativa 08 - Santanderes-Arauca,0.13468388245770258
Area Operativa 02 - Atlántico-Bolivar-Sucre,0.12243989314336598
Area Operativa 01 - Antioquia-Chocó,0.10552092609082814
Area Operativa 09 - Cauca-Valle-Caldas,0.09995547640249332
Area Operativa 05 - Magdalena-Cesar-Guajira,0.09973285841495994
Area Operativa 06 - Boyacá-Casanare-Vichada,0.08481745325022262
Area Operativa 04 - Huila-Caquetá,0.07724844167408727
Area Operativa 10 - Tolima,0.07390917186108638
Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,0.07235084594835263
Area Operativa 07 - Nariño-Putumayo,0.06567230632235084
Area Operativa 03 - Meta-Guaviare-Guainía,0.06366874443455031
