ZONA_HIDROGRAFICA,Activa,En Mantenimiento,Suspendida
Alto Magdalena,371.0,2.0,267.0
Amazonas - Directos,8.0,,6.0
Apaporis,,,1.0
Arauca,25.0,,24.0
Atrato - Darién,61.0,,37.0
Bajo Magdalena,171.0,,144.0
Bajo Magdalena- Cauca -San Jorge,92.0,,59.0
Baudó - Directos Pacifico,4.0,,4.0
Caguán,8.0,1.0,6.0
Caquetá,61.0,2.0,31.0
Caribe - Guajira,107.0,1.0,90.0
Caribe - Litoral,58.0,,38.0
Casanare,17.0,,4.0
Catatumbo,85.0,,112.0
Cauca,309.0,3.0,193.0
Cesar,88.0,,79.0
Guaviare,51.0,,36.0
Inírida,3.0,,
Islas Caribe,14.0,,7.0
Medio Magdalena,221.0,3.0,197.0
Meta,257.0,2.0,124.0
Mira,16.0,,7.0
Nechí,52.0,,38.0
Orinoco Directos,7.0,1.0,6.0
Pacífico - Directos,7.0,,4.0
Patía,111.0,1.0,31.0
Putumayo,47.0,,33.0
Saldaña,48.0,,25.0
San Juán,33.0,,10.0
Sinú,56.0,,90.0
Sogamoso,204.0,,112.0
Tapaje - Dagua - Directos,34.0,,13.0
Tomo,4.0,,2.0
Vaupes,15.0,,2.0
Vichada,3.0,,1.0
Yarí,1.0,,1.0
