AREA_OPERATIVA,Activa,En Mantenimiento,Suspendida
Area Operativa 01 - Antioquia-Chocó,270.0,,204.0
Area Operativa 02 - Atlántico-Bolivar-Sucre,295.0,,255.0
Area Operativa 03 - Meta-Guaviare-Guainía,176.0,3.0,107.0
Area Operativa 04 - Huila-Caquetá,202.0,5.0,139.0
Area Operativa 05 - Magdalena-Cesar-Guajira,244.0,1.0,203.0
Area Operativa 06 - Boyacá-Casanare-Vichada,263.0,1.0,117.0
Area Operativa 07 - Nariño-Putumayo,203.0,1.0,91.0
Area Operativa 08 - Santanderes-Arauca,293.0,1.0,311.0
Area Operativa 09 - Cauca-Valle-Caldas,294.0,3.0,150.0
Area Operativa 10 - Tolima,198.0,,134.0
Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,212.0,2.0,111.0
