DEPARTAMENTO,Activa,En Mantenimiento,Suspendida
Amazonas,35.0,,17.0
Antioquia,221.0,,173.0
Arauca,17.0,,18.0
"Archipiélago de San Andres, Providencia y Santa Catalina",14.0,,7.0
Atlantico,35.0,,33.0
Bogotá,28.0,,39.0
Bolívar,123.0,,132.0
Boyacá,214.0,1.0,103.0
Caldas,59.0,,31.0
Caquetá,32.0,3.0,18.0
Casanare,49.0,,22.0
Cauca,147.0,1.0,74.0
Cesar,94.0,,80.0
Chocó,74.0,,34.0
Cundinamarca,179.0,2.0,66.0
Córdoba,91.0,,91.0
Guainía,9.0,,3.0
Guaviare,9.0,,8.0
Huila,137.0,2.0,101.0
La Guajira,92.0,1.0,77.0
Magdalena,91.0,,59.0
Meta,88.0,2.0,64.0
Nariño,101.0,1.0,27.0
Norte de Santander,102.0,,122.0
Putumayo,40.0,,35.0
Quindío,9.0,1.0,1.0
RIsaralda,42.0,,37.0
Santander,153.0,1.0,139.0
Sucre,50.0,,24.0
Tolima,170.0,,119.0
Valle del Cauca,99.0,1.0,48.0
Vaupes,15.0,,3.0
Vichada,31.0,1.0,17.0
